,Smiles,ROMol,fp,expt,is_active,cycle
1800,[H]c1nc([H])c(-c2nc([H])n(C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24477970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070f75f0>,gp_200_UCB_False_10,False,1
1927,[H]c1nc([H])c(N([H])C(=O)Oc2c([H])c([H])c(C(=O)C([H])([H])[H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070f7660>,gp_200_UCB_False_10,False,1
1928,[H]OC1([H])C([H])([H])C([H])([H])N([C@]2([H])N(c3c([H])nc([H])c([H])c3[H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070f77b0>,gp_200_UCB_False_10,False,1
1929,[H]c1nc([H])c(C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d84a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070f7ac0>,gp_200_UCB_False_10,False,1
1930,[H]c1nc([H])c(N2C([H])([H])C([H])([H])C([H])([H])[C@]2([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24477430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070f7c10>,gp_200_UCB_False_10,False,1
1931,[H]c1nc([H])c(OC(=O)N([H])c2c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24477270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070f7e40>,gp_200_UCB_False_10,False,1
1932,[H]c1nc([H])c(S(=O)(=O)ON([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070f7f20>,gp_200_UCB_False_10,False,1
1933,[H]C(O[C@]([H])(c1c([H])nc([H])c([H])c1[H])C([H])([H])[H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070f7b30>,gp_200_UCB_False_10,False,1
1934,[H]c1nc([H])c(OC([H])([H])OC([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d82e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070f7040>,gp_200_UCB_False_10,False,1
1935,[H]c1nc([H])c(-c2c([H])c([H])nc(-c3c([H])c([H])c([H])c4c([H])c([H])c([H])nc34)c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef970>,gp_200_UCB_False_10,True,1
1936,[H]OC([H])([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])c1c([H])nc([H])c([H])c1[H])C([H])([H])[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d83c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef190>,gp_200_UCB_False_10,False,1
1937,[H]c1nc([H])c(C(=O)N2C([H])([H])C([H])(C(=O)c3c([H])c([H])c([H])c([H])c3[H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d89e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070efeb0>,gp_200_UCB_False_10,False,1
1938,[H]c1nc([H])c(N2C([H])([H])C([H])([H])C([H])(C3([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef890>,gp_200_UCB_False_10,False,1
1939,[H]c1nc([H])c(-c2nc([H])c(N([H])C(=S)N([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef270>,gp_200_UCB_False_10,False,1
1940,[H]c1nc([H])c(N([H])C([H])([H])N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d85f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef660>,gp_200_UCB_False_10,False,1
1941,[H]c1nc([H])c(-c2nc([H])c(C([H])([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef7b0>,gp_200_UCB_False_10,False,1
1942,[H]c1nc([H])c(-c2c([H])c([H])c([H])c([H])c2S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d86d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef0b0>,gp_200_UCB_False_10,False,1
1943,[H]c1nc([H])c(C(=S)N([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef900>,gp_200_UCB_False_10,False,1
1944,[H]c1nc([H])c(C(=O)N([H])N([H])C(=O)N([H])c2c([H])nc([H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070efa50>,gp_200_UCB_False_10,False,1
1945,[H]c1nc([H])c(S(=O)(=O)c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d87b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070efba0>,gp_200_UCB_False_10,False,1
1946,[H]c1nc([H])c(-n2nnc(-c3oc4c([H])c([H])c([H])c([H])c4c3[H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070efc80>,gp_200_UCB_False_10,False,1
1947,[H]c1nc([H])c(C2([H])C([H])([H])N(C(=O)N3C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070efd60>,gp_200_UCB_False_10,False,1
1926,[H]c1nc([H])c(C#C[C@@]2([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070eff90>,gp_200_UCB_False_10,False,1
1948,[H]C(=C([H])C([H])([H])c1c([H])c([H])c([H])c(F)c1[H])c1c([H])nc([H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8a50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070efb30>,gp_200_UCB_False_10,False,1
1925,[H]c1nc([H])c(C([H])([H])OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8ac0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef9e0>,gp_200_UCB_False_10,False,1
1923,[H]c1nc([H])c(SN([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8b30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef740>,gp_200_UCB_False_10,False,1
1902,[H]c1nc([H])c(C([H])([H])C(=O)c2c([H])nc([H])c([H])c2[H])nc1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8ba0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef510>,gp_200_UCB_False_10,False,1
1903,[H]c1nc([H])c(C(=NN([H])S(=O)(=O)c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8c10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef4a0>,gp_200_UCB_False_10,False,1
1904,[H]c1nc([H])c(-c2c([H])c([H])c([H])c(N([H])c3c([H])c([H])nc([H])c3[H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8c80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070eff20>,gp_200_UCB_False_10,False,1
1905,[H]c1nc([H])c(S(=O)(=O)C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070efe40>,gp_200_UCB_False_10,False,1
1906,[H]c1nc([H])c([C@@]([H])(OC([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8d60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef040>,gp_200_UCB_False_10,False,1
1907,[H]c1nc([H])c(N(Oc2c([H])c([H])c([H])c(C([H])([H])[H])c2[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8dd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef120>,gp_200_UCB_False_10,False,1
1908,[H]c1nc([H])c(C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8e40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef200>,gp_200_UCB_False_10,False,1
1909,[H]c1nc([H])c(-c2nc([H])c(N([H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8eb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef2e0>,gp_200_UCB_False_10,False,1
1910,[H]c1nc([H])c(-n2nc([H])c(N3C([H])([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8f20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef3c0>,gp_200_UCB_False_10,False,1
1911,[H]c1nc([H])c(C([H])([H])N([H])N([H])C(=O)N([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b247d8f90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070ef430>,gp_200_UCB_False_10,False,1
