cnnaffinity,Smiles,h,enamine_id,enamine_searched
-3.72047,[H]c1nc([H])c(-n2nc(F)c([H])c2[H])c([H])c1[H],6,,False
-4.11621,[H]c1nc([H])c(-n2c(Cl)nn([H])c2=O)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(C([H])([H])c3c([H])c([H])c(Cl)c([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(C([H])([H])c3c([H])c([H])c(F)c([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-3.93979,[H]c1nc([H])c(-n2nc([H])c([H])c2F)c([H])c1[H],6,,False
-5.19846,[H]c1nc([H])c(-c2nn([H])c(=S)n2-c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c([H])c1[H],6,,False
-4.06632,[H]C([H])=C([H])c1nn([H])c(=S)n1-c1c([H])nc([H])c([H])c1[H],6,,False
-5.60518,[H]c1nc([H])c(-c2c([H])n(-c3c([H])c([H])c(F)c([H])c3[H])c(=S)n2[H])c([H])c1[H],6,,False
-4.70239,[H]c1nc([H])c(-n2c([H])c(S(=O)(=O)C([H])([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-4.25269,[H]Oc1nn([H])c(=S)n1-c1c([H])nc([H])c([H])c1[H],6,,False
-5.04021,[H]c1nc([H])c(-c2nn([H])c(=S)n2-c2c([H])nc([H])c([H])c2[H])c([H])c1[H],6,,False
-5.03174,[H]c1nc([H])c(-n2c([H])c(N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-4.81954,[H]c1nc([H])c(-n2c([H])c(S(=O)(=O)N([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-5.14629,[H]c1nc([H])c(-n2c([H])c(N([H])C([H])([H])C3([H])C([H])([H])C3([H])[H])n([H])c2=S)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(-c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.39998,[H]c1nc([H])c(-n2nc([H])c(C(F)(F)F)c2[H])c([H])c1[H],6,,False
-4.1275,[H]c1nc([H])c(-n2c(C([H])([H])F)nn([H])c2=S)c([H])c1[H],6,,False
-4.29997,[H]c1nc([H])c(-n2c(C([H])([H])Cl)nn([H])c2=S)c([H])c1[H],6,,False
-4.14156,[H]c1nc([H])c(-n2c(Cl)nn([H])c2=S)c([H])c1[H],6,,False
-4.58705,[H]c1nc([H])c(-n2c(I)nn([H])c2=S)c([H])c1[H],6,,False
-3.55065,[H]c1nc([H])c(-n2c(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.48725,[H]c1nc([H])c(-n2c([H])c(N([H])C([H])([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-4.27955,[H]c1nc([H])c(N2C([H])([H])C([H])(C(=O)F)C2([H])[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(C([H])([H])c3c([H])c([H])c(F)c([H])c3[H])nn([H])c2=O)c([H])c1[H],6,,False
-4.5177,[H]c1nc([H])c(-n2c([H])c(F)n([H])c2=S)c([H])c1[H],6,,False
-4.88243,[H]c1nc([H])c(-n2c([H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-5.69073,[H]c1nc([H])c(-n2c([H])c(-c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])n([H])c2=S)c([H])c1[H],6,,False
-4.30083,[H]c1nc([H])c(-n2nc([H])c([H])c2S(=O)(=O)C([H])([H])[H])c([H])c1[H],6,,False
-4.89977,[H]c1nc([H])c(-n2c([H])c(I)n([H])c2=S)c([H])c1[H],6,,False
-4.31641,[H]c1nc([H])c(-n2c([H])c(N([H])N([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-4.98174,[H]c1nc(-c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c([H])nc1-c1c([H])nc([H])c([H])c1[H],6,,False
-5.04851,[H]c1nc([H])c(-n2c(-c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])nn([H])c2=O)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(-c3c([H])nc(C(F)(F)F)c([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-5.12715,[H]c1nc([H])c(-n2c([H])c(C(F)(F)F)n([H])c2=S)c([H])c1[H],6,,False
-4.68876,[H]OC(=O)C([H])([H])c1nn([H])c(=S)n1-c1c([H])nc([H])c([H])c1[H],6,,False
-5.41435,[H]c1nc([H])c(-n2c([H])c(-c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])n([H])c2=O)c([H])c1[H],6,,False
-4.02174,[H]c1nc([H])c(-n2nc([H])c([H])c2Cl)c([H])c1[H],6,,False
-4.54786,[H]c1nc([H])c(-n2c(C(F)(F)F)nn([H])c2=S)c([H])c1[H],6,,False
-5.57511,[H]c1nc([H])c(-n2c(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)nn([H])c2=S)c([H])c1[H],6,,False
-5.38602,[H]c1nc([H])c(-n2c(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)nn([H])c2=O)c([H])c1[H],6,,False
-4.75731,[H]c1nc([H])c(-n2c([H])c(Cl)n([H])c2=S)c([H])c1[H],6,,False
-4.31217,[H]c1nc([H])c(-n2c(F)nn([H])c2=S)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(-c3c([H])c([H])c(C(F)(F)F)c([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.61376,[H]c1nc([H])c(-n2c([H])c(C(=O)N([H])C([H])([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-5.17037,[H]c1nc([H])c(-c2nn([H])c(=S)n2-c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])c([H])c1[H],6,,False
-4.93752,[H]c1nc([H])c(-n2c(=O)c([H])c(Cl)n([H])c2=O)c([H])c1[H],6,,False
-4.98774,[H]c1nc([H])c(-n2c(-c3c([H])nc([H])c([H])c3[H])nn([H])c2=S)c([H])n1,6,,False
-4.96426,[H]c1nc([H])c(-n2c([H])c([H])c(-c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c2[H])c([H])c1[H],6,,False
-5.17667,[H]c1nc([H])c(-n2nc([H])c(-c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c2[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(-c3c([H])c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.16768,[H]c1nc([H])c(-n2nnnc2I)c([H])c1[H],6,,False
-4.64453,[H]c1nc([H])c(-n2c(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.15379,[H]c1nc([H])c(-n2c(N([H])C([H])([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.28896,[H]c1nc([H])c(N2C(=O)N([H])C(=O)[C@]2([H])C([H])([H])Cl)c([H])c1[H],6,,False
-4.91433,[H]c1nc([H])c(-n2c([H])c(N([H])S(=O)(=O)C([H])([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-3.87365,[H]c1nc([H])c(-n2c(N([H])C([H])([H])[H])nn([H])c2=O)c([H])c1[H],6,,False
-5.07764,[H]c1nc([H])c(-n2c([H])c(N([H])S(=O)(=O)N([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-4.24134,[H]c1nc([H])c(N2C(=O)N([H])C(=O)[C@]2([H])C([H])([H])N([H])C([H])([H])[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(-n3c([H])c([H])c([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.64149,[H]c1nc([H])c(-n2c([H])c([N+](=O)[O-])n([H])c2=S)c([H])c1[H],6,,False
-4.6119,[H]c1nc([H])c(-n2c(C([H])([H])C([H])([H])N([H])C([H])([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.19251,[H]c1nc([H])c(-n2nnc([H])c2Cl)c([H])c1[H],6,,False
-4.45954,[H]c1nc(C(F)(F)F)n(-c2c([H])nc([H])c([H])c2[H])n1,6,,False
0.0,[H]c1nc([H])c(-n2c(C(=O)C(F)(F)F)nn([H])c2=S)c([H])c1[H],6,,False
-4.70969,[H]c1nc([H])c(-n2c([H])c(C([H])([H])F)n([H])c2=S)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2nc([H])c([H])c2C([H])([H])c2c([H])c([H])c(F)c([H])c2[H])c([H])c1[H],6,,False
-5.03906,[H]c1nc([H])c(-n2c([H])c(-c3c([H])oc([H])c3[H])n([H])c2=S)c([H])c1[H],6,,False
-4.4722,[H]c1nc([H])c(N2C([H])([H])C([H])(C(=O)C([H])(F)F)C2([H])[H])c([H])c1[H],6,,False
-4.48484,[H]c1nc([H])c(-c2nc([H])c([H])c(C(F)(F)F)c2[H])c([H])c1[H],6,,False
-4.90034,[H]c1nc([H])c(-c2nn([H])c(=S)n2-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],6,,False
-4.86562,[H]c1nc([H])c(-n2c(C([H])([H])N([H])C(=O)C([H])([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.79067,[H]c1nc([H])c(-n2c(N([H])c3c([H])c([H])c(F)c([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(C([H])([H])c3c([H])c([H])nc([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-5.14711,[H]c1nc([H])c(-c2nn([H])c(=S)n2-c2c([H])c([H])c(F)c([H])c2[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-5.46942,[H]c1nc([H])c(-n2c([H])c(N([H])C([H])([H])c3c([H])c([H])nc([H])c3[H])n([H])c2=S)c([H])c1[H],6,,False
-4.69153,[H]c1nc([H])c(-n2c(C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.32558,[H]C([H])=C([H])C([H])([H])c1nn([H])c(=S)n1-c1c([H])nc([H])c([H])c1[H],6,,False
-3.52107,[H]c1nc([H])c(C(F)(F)F)c([H])c1[H],6,,False
-4.49954,[H]c1nc([H])c(-n2c(C([H])([H])C([H])([H])C([H])([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-5.59655,[H]c1nc([H])c(-n2c(N([H])C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-5.17304,[H]c1nc([H])c(-n2nc([H])c([H])c2C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)c([H])c1[H],6,,False
-4.44059,[H]c1nc([H])c(-n2c(N([H])C(=O)C([H])([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.80156,[H]c1nc([H])c(-n2c(C([H])([H])c3c([H])c([H])c(C(F)(F)F)c([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.37544,[H]c1nc([H])c(C(F)(F)N([H])S(=O)(=O)N([H])[H])c([H])c1[H],6,,False
-4.18489,[H]c1nc([H])c(-n2c(I)nn([H])c2=O)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(C([H])([H])c3c([H])c([H])c([H])c(Cl)c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.9728,[H]c1nc([H])c(-n2c(N([H])S(=O)(=O)N([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-3.73976,[H]c1nc([H])c(N2C([H])([H])C([H])([H])[C@]2([H])C([H])([H])F)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c([H])c(N([H])C(=O)N([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-5.20945,[H]c1nc([H])c(-c2nn([H])c(=S)n2-c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c1[H],6,,False
-4.72083,[H]c1nc([H])c(-n2c([H])c(N([H])C(=O)C([H])([H])[H])n([H])c2=S)c([H])c1[H],6,,False
-5.47159,[H]c1nc([H])c(-n2c([H])c(-c3c([H])c([H])c(C(F)(F)F)c([H])c3[H])n([H])c2=S)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c(C([H])([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])nn([H])c2=S)c([H])c1[H],6,,False
-4.48034,[H]c1nc([H])c(-n2c(C([H])([H])S(=O)(=O)C([H])([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-5.10566,[H]c1nc([H])c(N2C(=O)N([H])C(=O)[C@]2([H])C([H])([H])c2c([H])c([H])c(F)c([H])c2[H])c([H])c1[H],6,,False
-4.34605,[H]c1nc([H])c(-n2c(C(F)(F)F)nn([H])c2=O)c([H])c1[H],6,,False
