cnnaffinity,Smiles,h,enamine_id,enamine_searched
-5.54432,[H]c1nc([H])c(-c2nn3c(c2C([H])([H])c2sc([H])c([H])c2[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-5.46519,[H]c1nc([H])c(-n2nc(-c3c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c3[H])c([H])c([H])c2=O)c([H])c1[H],6,,False
-5.70391,[H]c1nc([H])c(-c2c([H])n(-c3c([H])c([H])c([H])c([H])c3C(F)(F)F)c(=O)n2[H])c([H])c1[H],6,,False
-4.93229,[H]Oc1c([H])c([H])c([H])c([H])c1N([H])C(c1c([H])nc([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],6,,False
-5.61788,[H]c1nc([H])c(-c2c([H])n(-c3nc(C([H])([H])[H])c([H])c([H])c3[H])c(=S)n2[H])c([H])c1[H],6,,False
-5.85043,C(c1c(nc(N(C(c2c(nc(c(c2Cl)[H])[H])[H])([H])[H])[H])nc1c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,PV-005591249217,False
-5.29918,[H]c1nc([H])c(-n2nc(-c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)c([H])c([H])c2=O)c([H])c1[H],6,,False
-5.53542,[H]c1nc([H])c(-c2nn(-c3c([H])c([H])c(Cl)c([H])c3Cl)c([H])c([H])c2=O)c([H])c1[H],6,,False
-4.79385,[H]c1nc([H])c(Oc2c([H])nn([H])c2Oc2c([H])c([H])c([H])c(Cl)c2[H])c([H])c1[H],6,,False
-5.21202,[H]c1nc([H])c(Oc2c([H])n(-c3c([H])nc([H])c([H])c3[H])c(=O)n([H])c2=O)c([H])c1[H],6,,False
-6.18167,[H]C(=C1C(c2c([H])nc([H])c([H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])c([H])c([H])c([H])c1C(F)(F)F,6,,False
-5.43191,[H]c1nc([H])c(-c2c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c23)nc1-c1c([H])nc([H])c([H])c1[H],6,,False
-4.3024,[H]c1nc([H])c(C2(c3c([H])c([H])c([H])c(Cl)c3[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.18493,[H]c1nc([H])c(-c2nc([H])n([H])c2-c2c([H])c([H])c(Br)c([H])c2[H])c([H])c1[H],6,,False
-5.11893,[H]c1nc([H])c(-c2c([H])sc3nc([C@@]4([H])N([H])C([H])([H])C([H])([H])C4([H])[H])nn23)c([H])c1[H],6,,False
-6.01922,[H]C(=C1C(c2c([H])nc([H])c([H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])c([H])c([H])c(Cl)c1[H],6,,False
-5.2992,[H]c1nc([H])c(-n2nc(-c3c([H])c([H])c(Br)c([H])c3[H])c([H])c([H])c2=O)c([H])c1[H],6,,False
-5.41201,[H]c1nc([H])c(-n2c([H])c(-c3nc(C([H])([H])[H])c([H])c([H])c3[H])n([H])c2=S)c([H])c1[H],6,,False
-5.42799,[H]c1nc([H])c(-c2nn3c(c2C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-5.69602,[H]c1nc([H])c(-c2nn3c(c2N([H])c2c([H])c([H])nc([H])c2[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-4.98308,[H]c1nc([H])c(-c2nc([H])n([H])c2-c2nn(C([H])([H])[H])c([H])c2[H])c([H])c1[H],6,,False
-5.44714,[H]c1nc([H])c(-c2nn3c(c2C([H])([H])N([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-c2nc(N3C([H])([H])c4c([H])c([H])c([H])c([H])c4C([H])([H])C3([H])[H])nn2[H])c([H])c1[H],6,,False
